genes	entrezID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Kifc2	16581	1.21477723988707	0.568267458396386	7.97257326112835	7.65934079577033e-07	1.98636952526672e-06	5.86817427549805
Nup107	103468	0.251212577336676	7.21864256953003	7.97031647771676	7.68657466724778e-07	1.99307845889972e-06	4.44092417080736
Rassf3	192678	0.660520055945827	3.26844363703599	7.96824956257204	7.71160657062797e-07	1.99921415638254e-06	5.03825001302258
Clcn7	26373	0.324835747606499	6.23544252258248	7.96755788990675	7.72000236567787e-07	2.00103557325805e-06	4.5086530796356
Dnpep	13437	0.385852267306897	5.57462559407816	7.96562819002984	7.74347664036645e-07	2.00640801506461e-06	4.57621903046471
N6amt1	67768	0.382157911649572	4.44497286457537	7.96172273831063	7.79121520379275e-07	2.01806152272738e-06	4.74733991205307
Rmdn2	381110	0.583506464700357	3.09482369446553	7.96146143254349	7.7944203113448e-07	2.0185337423316e-06	5.08372194732637
Fbxo6	50762	0.458302071904105	4.33293212251779	7.96085336356153	7.80188408928832e-07	2.02010847381927e-06	4.76903123766417
1700025G04Rik	69399	0.373690927755729	6.18326651031659	7.95894000030717	7.82541881159694e-07	2.0258430904322e-06	4.49473853917078
Nek8	140859	0.44806918274967	3.71867682338965	7.95863381677217	7.82919184422322e-07	2.02646067830452e-06	4.91631980464026
Sgta	52551	0.340469674102681	7.16095721432179	7.9566769518226	7.85335105456181e-07	2.03199372015819e-06	4.42195976087705
Lama5	16776	0.656383105504348	8.99972291771265	10.0477516535837	7.86957293195759e-07	2.03583036210012e-06	4.80335467018292
Abca7	27403	0.405181179101849	5.64771666999382	7.9552504839851	7.87101140446607e-07	2.03584190851127e-06	4.54831448500882
Clta	12757	0.303002386190997	7.4172242906677	7.95501243408298	7.87396263608301e-07	2.03624465762444e-06	4.40436096233563
Nrap	18175	3.70353280790247	-2.1260471188958	7.95300230842668	7.8989296465427e-07	2.04197816667969e-06	6.17036426440081
Adgra3	70693	0.348644033972649	6.15741669475149	7.95226127167544	7.90815475708416e-07	2.04363956797543e-06	4.48764368577458
Gm15964	100503130	1.6145527011552	0.0644378896958421	7.94934992281613	7.94450766856532e-07	2.05230772916634e-06	5.95403166244932
Gm28876	102632344	3.59153026136764	-2.25768136933884	7.94702145313103	7.97370875085799e-07	2.05948700291833e-06	6.15864515862067
Lox	16948	0.365104331380296	8.68704799444406	7.93827022787341	8.0844692756731e-07	2.08625014559154e-06	4.32386188774008
Mtm1	17772	0.597603753871061	2.80835411653867	7.93796480136531	8.08836400053901e-07	2.08688649694175e-06	5.14002398690506
Rnf216	108086	0.271851653663357	6.19750029696917	7.93762982723568	8.09263777632772e-07	2.08762040552884e-06	4.45915592723059
Ak3l2-ps	635960	4.04125397696812	-2.89624956679274	7.93552132731423	8.11959365362419e-07	2.09383447925203e-06	6.12285111053835
Meis3	17537	1.6409604794938	-0.0975486382045135	7.93221438582337	8.16206104258802e-07	2.10441418513752e-06	5.95419160521789
Shank2	210274	1.20365512793552	0.496152557989607	7.93179227893499	8.16749846557823e-07	2.10507292373806e-06	5.78261685435522
Etfrf1	67636	0.563518748198742	3.2043055094274	7.93185585686886	8.1666792350349e-07	2.10507292373806e-06	5.02219722356392
Nudt1	17766	0.424734409946683	3.73913453409907	7.93098672959016	8.1778858155254e-07	2.10737826784693e-06	4.86162257899954
Dcaf4	73828	0.444850912944569	4.15023454992624	7.92970364288237	8.19445955663382e-07	2.11127670284342e-06	4.7693354008728
Gm12454	100503819	2.93466324655796	-1.82008989275929	7.92518836776583	8.25306492205604e-07	2.12487689496828e-06	6.12316081264201
Mrps5	77721	0.351096065911341	5.61478208896693	7.92012902090889	8.31925549608346e-07	2.14116380221665e-06	4.48793540367963
Psmf1	228769	0.329641858946478	5.28774899554311	7.91770656375066	8.35114532509718e-07	2.14823579813965e-06	4.53212987300508
Svil	225115	0.466014400320135	5.31738938412677	7.91516857903794	8.38469378661212e-07	2.15648595610595e-06	4.52582589223824
Cutc	66388	0.738730064817599	2.47126224485813	7.90227106219475	8.55738188321523e-07	2.19857730494708e-06	5.16467098807133
Sssca1	56390	0.468326196776551	5.30223405490031	7.8885857917674	8.74470929718913e-07	2.24512610291342e-06	4.47973302583251
Raver2	242570	2.41664806578754	-1.86830683954458	7.88639357863237	8.77511493548973e-07	2.25174505881523e-06	6.0499081451428
Rem2	140743	3.24104132367555	-2.41014073783922	7.88541474464935	8.78872704973765e-07	2.25484186348969e-06	6.06580086049932
2610204G07Rik	72468	3.46105053155309	-3.74256625287272	7.88340669064476	8.81672144584182e-07	2.2605948374186e-06	6.01920364900526
Tube1	71924	0.46009886747379	3.94229107062841	7.87525074452964	8.93139043575428e-07	2.28862962639697e-06	4.73406530197291
Gm5345	384808	5.33124122303239	-1.10964393877964	9.30144185801615	9.01407375354821e-07	2.30860181035113e-06	6.20569025856737
Gm14319	102635709	4.10699060535011	-3.39567808974499	7.86784660392008	9.03684634482505e-07	2.31321727501778e-06	6.01784541877382
Znhit1	70103	0.442253287398496	4.96703694691402	7.86695036857409	9.04969973202876e-07	2.31569576534709e-06	4.49801683044218
Cfap69	207686	0.668222140874614	2.37636323372467	7.85289701690676	9.25377725920119e-07	2.36667257306764e-06	5.13212385112844
Slc9a8	77031	0.408550450547532	4.53931999871112	7.85265327888714	9.25735908420431e-07	2.36717413837339e-06	4.56581684708551
Banf1	23825	0.375370137285341	8.0165949383838	7.8518260530036	9.26952635251583e-07	2.36987050419825e-06	4.20579331316788
Lbp	16803	3.17876006797463	-2.7226402840178	7.85165479563873	9.27204739294427e-07	2.37010017888246e-06	6.01382366721008
Erap1	80898	0.464557391010933	5.18255438887808	7.84814894099984	9.32381486405414e-07	2.38208220927715e-06	4.43055353797392
Rhbdd1	76867	0.329899209786912	5.23809743671159	7.84735176402953	9.33562829279262e-07	2.38468322568256e-06	4.42778398667171
Tmc8	217356	2.41945222100358	-1.4226088989752	7.84521966418645	9.36730136974848e-07	2.39193712948507e-06	5.97806863532414
Fbxo32	67731	0.874159586050053	2.77812364122753	7.84504782210478	9.36985905333577e-07	2.39217202120298e-06	5.0267992123049
Gm6020	547091	4.07328219252305	-3.35656183832105	7.8355727695174	9.51202641874569e-07	2.42550031201466e-06	5.96710923492294
Gm2164	100039332	3.98062358490818	-3.59631357570638	7.83564977440124	9.51086191969929e-07	2.42550031201466e-06	5.96075369086585
Ppt2	54397	0.460791689736268	3.56469704411794	7.83325103854298	9.54720699252689e-07	2.43319674285199e-06	4.75373578292634
Tsta3	22122	0.334676356461935	5.76610703111819	7.83247378075351	9.5590150859694e-07	2.43578112954761e-06	4.32728042003956
