genes	entrezID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Aar2	68295	-2.27643085001462	5.97788154306718	-54.178572459105	5.84796548888505e-19	1.02910101121271e-16	33.8658800330476
Gjb3	14620	3.93058958972217	4.58752118031699	54.09856527811	5.98154437368362e-19	1.03517092152006e-16	33.8530159599512
Mtss1	211401	2.25605990193911	5.63701874366183	54.0734143172845	6.02420432214194e-19	1.03517092152006e-16	33.8488885387862
Phf20	228829	-1.95692213480155	7.31095376951214	-53.9382046945742	6.2591613813119e-19	1.0630385015749e-16	33.742167947317
Emp2	13731	-1.76746282272867	7.11223453606623	-53.8965267317575	6.33353884509335e-19	1.06330653300498e-16	33.7363139660216
Lrrk2	66725	-4.38947706342605	4.33942646365796	-52.9604424303325	8.27787853935338e-19	1.37393970392949e-16	33.470874984803
Optn	71648	3.29013296006038	4.3718823894053	52.5477174184492	9.32893185019261e-19	1.49734481982322e-16	33.4179068196867
Loxl1	16949	-2.32717120256153	6.75703860735449	-52.7372138023434	8.82972140672725e-19	1.44906641423212e-16	33.4081764487904
Foxo6	329934	3.81900999895066	4.36497412353929	52.4216288901296	9.67769477209593e-19	1.5199183853896e-16	33.3713481810305
Cx3cl1	20312	-2.40772539905325	4.83229224397849	-52.334631484524	9.92640955789812e-19	1.54239508513468e-16	33.3706758431864
Marcks	17118	1.76664819236417	7.51926436932356	52.5497865152637	9.323321551784e-19	1.49734481982322e-16	33.3229848850169
Fam84b	399603	3.56073474746821	4.38493803198425	52.2154438971631	1.02782592599396e-18	1.56379432031956e-16	33.3154758348191
Unc5b	107449	2.14135497829462	7.88017703046116	52.5069960739346	9.44008131162898e-19	1.49871551780058e-16	33.3038163712387
Smpd3	58994	10.1438847304655	4.64172146659504	60.9909992319956	9.56019871101638e-20	3.17355141757057e-17	33.282537864764
Zcchc3	67917	3.2213857503288	4.25697477878329	52.0363056610441	1.08322908920795e-18	1.63109732752282e-16	33.2680436038869
