genes	logFC	AveExpr	t	P.Value	adj.P.Val
Gm25777	0.781725365976063	0.601992866818883	1.12561483774353	0.140088449122802	0.41488650205501
Tusc1	-0.680873308027211	2.54398353112442	-1.12423720853696	0.140368875914291	0.415638399974653
Neb	0.879329541337882	-0.762088507869735	1.1211069605051	0.141051205558851	0.41757984054462
Taf10	-0.650466665914884	6.13483731186345	-1.12042513134739	0.141150459691596	0.4177946876845
Gm26280	0.935882753364196	-1.56149807793278	1.12015866999191	0.141351417138118	0.418310430835126
Pcdhb17	0.83838735290348	-0.228226448295039	1.11782745894659	0.141697579287148	0.419255611579395
Gm6133	-0.822736475936326	-0.828766359747897	-1.11649918941501	0.141966262267086	0.419971232680527
Gm24727	-0.857015894943963	-1.39119611977286	-1.11616507485614	0.142050727183725	0.420141723884166
Kcnk4	0.969808278914548	-2.30925572092272	1.115397785658	0.142463571065946	0.421283209773481
Cox16	0.701542364330088	2.41277653864776	1.11142314992012	0.143009181039061	0.422816796961784
Gm4950	0.774891958162663	0.240680166697571	1.11036003523661	0.143230910680822	0.423392410692903
Paxbp1	0.630274862853399	6.33083359623751	1.11017740849966	0.143267840721982	0.42342164024628
Slc22a17	0.81628363972831	0.185249427737996	1.10679840303301	0.143977643738157	0.425439129204012
Gm37154	0.859616892430708	-0.902195216176585	1.10605438683575	0.144153534826387	0.425878499681429
Gm1673	-0.719409312834747	0.98624893468701	-1.10521305618949	0.144302170476076	0.426237197757857
Clic1	-0.628715976952336	8.06865610230564	-1.10377157619324	0.144603513990467	0.427046741241555
Snhg3	0.754353047883614	0.0879049749961479	1.09638091837171	0.146156511562969	0.431551698671123
Il1rn	-0.713502747537329	1.69052279830804	-1.09324098081832	0.146819554265269	0.433427711290644
Snhg9	1.16760663544464	-2.42512749671004	1.10567508100312	0.146855379196789	0.433451748814951
Spx	-0.810264203602126	-0.0991216008623968	-1.09170651007394	0.1471504268132	0.43424074312874
Tbc1d9b	-0.628367295420092	5.80120091760456	-1.09019552840896	0.14746512088278	0.435087405838057
Ldha-ps2	-0.94604333719493	-1.87103644926881	-1.09011346065642	0.147706295534359	0.435691598217107
Lck	-0.774988855737599	-0.166491936538575	-1.0889757518351	0.14772555210976	0.435691598217107
AC122313.1	-0.999677050017301	-1.55312026530761	-1.0875279030825	0.148568131268036	0.438094124179832
Angel1	-0.757066412032352	0.535056755658823	-1.08214596632514	0.149182227799673	0.439822128203215
